state,2012_turnout,2016_turnout,turnout_delta,2012_dem,2016_dem,dem_delta
Alabama,58.6,58.8,0.199999999999996,38.36,34.36,-4
Alaska,58.7,61,2.3,40.81,36.55,-4.26
Arizona,52.6,54.9,2.3,44.59,45.13,0.54
Arkansas,50.7,52.8,2.09999999999999,36.88,33.65,-3.23
California,55.1,56.5,1.4,60.24,61.73,1.49
Colorado,69.9,70,0.099999999999994,51.49,48.16,-3.33
Connecticut,61.3,63.7,2.40000000000001,58.06,54.57,-3.49
Delaware,62.3,64.2,1.90000000000001,58.61,53.09,-5.52
District of Columbia,61.5,60.4,-1.1,90.91,90.48,-0.43
Florida,62.8,64.5,1.7,50.01,47.82,-2.19
Georgia,59,59.1,0.100000000000001,45.48,45.64,0.16
Hawaii,44.2,42.3,-1.90000000000001,70.55,62.22,-8.33
Idaho,59.8,59.2,-0.599999999999994,32.62,27.49,-5.13
Illinois,58.9,61.6,2.7,57.6,55.83,-1.77
Indiana,55.2,56.4,1.2,43.93,37.91,-6.02
Iowa,70.3,68.4,-1.89999999999999,51.99,41.74,-10.25
Kansas,56.9,57.7,0.800000000000004,37.99,36.05,-1.94
Kentucky,55.7,58.6,2.9,37.8,32.68,-5.12
Louisiana,60.2,60,-0.200000000000003,40.58,38.45,-2.13
Maine,68.2,70.7,2.5,56.27,47.83,-8.44
Maryland,66.6,66.4,-0.199999999999989,61.97,60.33,-1.64
Massachusetts,65.9,67.2,1.3,60.65,60.01,-0.64
Michigan,64.7,64.7,0,54.21,47.27,-6.94
Minnesota,76,74.1,-1.90000000000001,52.65,46.44,-6.21
Mississippi,59.3,55.2,-4.09999999999999,43.79,40.11,-3.68
Missouri,62.2,62.2,0,44.38,38.14,-6.24
Montana,62.5,61.8,-0.700000000000003,41.7,35.75,-5.95
Nebraska,60.3,62.8,2.5,38.03,33.7,-4.33
Nevada,56.4,57.4,1,52.36,47.92,-4.44
New Hampshire,70.2,71.4,1.2,51.98,46.98,-5
New Jersey,61.5,64.4,2.90000000000001,58.38,54.99,-3.39
New Mexico,54.6,54.5,-0.100000000000001,52.99,48.26,-4.73
New York,53.1,56.8,3.7,63.35,59.01,-4.34
North Carolina,64.8,64.5,-0.299999999999997,48.35,46.17,-2.18
North Dakota,59.8,60.8,1,38.69,27.23,-11.46
Ohio,64.5,62.9,-1.6,50.67,43.56,-7.11
Oklahoma,49.2,52.3,3.09999999999999,33.23,28.93,-4.3
Oregon,63.1,66.2,3.1,54.24,50.07,-4.17
Pennsylvania,59.5,63.6,4.1,51.97,47.46,-4.51
Rhode Island,58,59.1,1.1,62.7,54.41,-8.29
South Carolina,56.3,56.7,0.400000000000006,44.09,40.67,-3.42
South Dakota,59.3,58.6,-0.699999999999996,39.87,31.74,-8.13
Tennessee,51.9,51.1,-0.799999999999997,39.08,34.72,-4.36
Texas,49.6,51.4,1.8,41.38,43.24,1.86
Utah,55.5,56.8,1.3,24.75,27.46,2.71
Vermont,60.7,63.7,3,66.57,56.68,-9.89
Virginia,66.1,66.1,0,51.16,49.73,-1.43
Washington,64.7,64.8,0.099999999999994,56.16,52.54,-3.62
West Virginia,50.2,46.3,-3.90000000000001,35.54,26.43,-9.11
Wisconsin,69.5,72.9,3.40000000000001,52.83,46.45,-6.38
Wyoming,59.5,58.6,-0.899999999999999,27.82,21.63,-6.19
